time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
95317,0.19,0.05,0.99,4.15,-2.44,-16.11
95333,0.17,0.07,1.01,0.61,-2.75,-17.21
95349,0.10,0.06,0.99,-5.98,-2.56,-16.42
95365,0.08,0.03,0.99,4.03,-1.89,-15.63
95381,0.06,-0.01,1.00,7.20,-1.83,-16.97
95397,0.04,0.03,1.02,7.81,-1.95,-20.26
95413,0.05,0.05,1.02,-0.06,-3.05,-23.19
95429,0.10,0.09,1.00,0.49,-2.81,-22.28
95445,0.14,0.15,1.00,-1.71,-2.93,-19.84
95461,0.14,0.16,0.99,-1.16,-2.93,-19.23
95477,0.17,0.20,1.02,3.97,-3.23,-21.79
95493,0.16,0.28,0.99,3.05,-3.66,-25.57
95509,0.13,0.32,0.99,0.18,-3.60,-26.25
95525,0.07,0.34,0.99,-2.62,-2.20,-24.29
95541,-0.05,0.32,1.00,-0.31,-2.38,-10.56
95557,-0.07,0.29,1.00,-1.34,-2.75,-0.06
95573,-0.14,0.19,1.00,0.43,-1.77,21.18
95589,-0.14,0.11,1.00,2.81,-1.28,32.84
95605,-0.17,0.08,1.01,1.10,-1.95,33.63
95621,-0.21,0.09,1.00,-0.31,-1.28,29.48
95637,-0.19,0.12,1.00,1.10,-1.59,21.42
95653,-0.17,0.14,1.00,1.10,-1.77,16.66
95669,-0.19,0.18,1.00,1.89,-2.01,5.98
95685,-0.19,0.19,1.00,1.83,-1.95,-2.01
95701,-0.17,0.18,1.00,2.26,-1.71,-3.85
95717,-0.14,0.14,1.01,3.30,-1.59,-1.71
95733,-0.13,0.13,1.00,2.20,-2.01,1.10
95749,-0.14,0.15,1.00,2.75,-2.38,-0.18
95765,-0.13,0.15,1.00,4.03,-1.83,-8.12
95781,-0.09,0.18,1.00,4.27,-1.65,-9.22
95797,-0.08,0.19,1.00,3.91,-1.89,-5.55
95813,-0.09,0.17,1.00,0.73,-1.83,7.26
95829,-0.10,0.11,1.00,-1.34,-0.98,22.28
95845,-0.11,0.06,1.01,0.31,-1.16,27.95
95861,-0.14,-0.02,1.00,3.23,-1.22,34.00
95877,-0.13,-0.11,1.00,2.69,-1.89,35.03
95893,-0.12,-0.16,1.01,2.93,-1.65,34.73
95909,-0.11,-0.25,1.01,2.75,-1.28,32.47
95925,-0.08,-0.31,1.01,2.26,-1.53,28.50
95941,-0.07,-0.31,1.01,3.30,-1.34,26.37
95957,-0.06,-0.30,1.01,2.75,-2.32,23.56
95973,-0.13,-0.23,1.01,2.87,-1.53,16.05
95989,-0.11,-0.21,1.01,1.59,-1.28,13.55
96005,-0.07,-0.18,1.01,2.81,-1.22,11.96
96021,-0.04,-0.17,1.00,2.81,-0.92,15.20
96037,-0.08,-0.15,1.00,2.81,-1.04,16.11
96053,-0.17,-0.13,1.00,3.36,-0.73,17.70
96069,-0.07,-0.13,1.00,4.33,-0.98,20.63
96085,-0.04,-0.12,1.00,-1.53,-1.59,21.67
96101,0.00,-0.10,1.01,1.59,-1.53,13.37
96117,0.03,-0.07,1.01,6.10,-0.31,2.69
96133,0.05,-0.08,1.00,4.76,0.61,-2.62
96149,0.10,-0.10,1.02,4.46,0.12,-8.79
96165,0.05,-0.06,1.00,8.24,-0.06,-5.62
96181,0.02,-0.05,0.99,4.46,-0.12,-4.82
96197,0.08,-0.03,1.00,-1.22,-2.56,-7.02
96213,0.14,-0.03,1.01,-2.32,-3.30,-11.72
96229,0.17,-0.05,1.01,-4.88,-2.93,-13.85
96245,0.14,-0.10,1.01,-5.62,-3.36,-17.46
96261,0.12,-0.15,1.01,-4.39,-2.93,-18.25
96277,0.16,-0.13,1.00,-5.25,-3.05,-16.24
96293,0.24,-0.09,1.03,-2.56,-2.69,-10.31
96309,0.28,-0.09,0.99,-3.66,-2.26,-6.35
96325,0.29,-0.09,0.99,2.81,-1.95,-2.99
96341,0.25,-0.02,1.03,-0.98,-1.46,1.95
96357,0.23,-0.03,1.03,-22.64,-0.73,-5.49
96373,0.20,-0.04,0.99,-24.72,-1.04,-10.44
96389,0.14,-0.02,0.98,-18.01,-2.08,-22.89
96405,0.11,-0.03,0.98,0.00,-2.32,-33.69
96421,0.06,-0.06,0.95,13.61,-1.95,-34.30
96437,0.10,-0.01,1.03,35.10,-2.14,-22.89
96453,0.14,-0.02,1.01,21.73,-2.56,-11.96
96469,0.14,0.02,1.02,16.66,-2.81,-5.55
96485,0.08,0.05,1.02,-5.74,-2.20,2.08
96501,0.04,0.04,1.02,-12.08,-2.14,8.00
96517,-0.01,0.02,0.99,-11.47,-0.55,11.72
96533,-0.02,0.03,0.97,0.85,0.18,21.36
96549,-0.01,0.06,0.96,9.83,-1.89,27.34
96565,-0.03,0.21,1.06,13.73,-7.81,34.06
96581,-0.09,0.26,0.99,-1.22,-2.14,17.21
96597,-0.10,0.25,1.00,-2.20,-2.26,8.54
96613,-0.06,0.21,1.00,4.64,-1.89,-0.55
96629,0.03,0.16,1.00,8.18,-1.53,-2.38
96645,0.05,0.13,1.00,7.87,-1.40,-2.01
96661,0.05,0.11,1.00,5.55,-1.04,-0.06
96677,0.00,0.16,1.00,2.75,-1.46,3.48
96693,-0.06,0.21,1.00,-0.31,-1.65,2.81
96709,-0.11,0.22,1.00,-1.59,-2.50,-9.09
96725,-0.01,0.19,1.00,2.50,-2.69,-20.39
96741,0.03,0.16,1.01,4.46,-2.44,-24.60
96757,0.09,0.13,1.00,4.76,-1.95,-29.48
96773,0.07,0.14,1.00,3.85,-2.08,-31.25
96789,0.04,0.15,1.00,4.03,-1.89,-30.64
96805,-0.09,0.19,1.00,-0.98,-2.99,-26.43
96821,-0.18,0.13,1.00,-3.72,-2.75,-19.29
96837,-0.17,0.09,1.01,-1.04,-1.95,-12.15
96853,-0.11,0.03,1.01,0.31,-2.38,6.04
96869,-0.03,0.02,1.00,2.01,-2.32,21.30
96885,-0.01,0.05,1.00,2.81,-2.01,23.74
96901,-0.06,0.07,1.00,4.64,-1.28,22.28
96917,-0.10,0.10,1.00,2.69,-1.22,9.22
96933,-0.11,0.11,1.00,3.11,-1.28,3.05
96949,-0.10,0.11,1.00,0.92,-1.40,4.33
96965,-0.06,0.11,1.00,0.73,-1.46,13.37
96981,-0.06,0.11,1.00,1.22,-1.53,18.13
96997,-0.08,0.08,1.00,2.08,-1.71,22.34
97013,-0.08,0.05,1.00,1.83,-1.89,24.48
97029,-0.10,0.06,1.01,0.79,-2.01,25.51
97045,-0.08,0.03,1.00,-0.55,-2.44,24.11
97061,-0.11,-0.02,1.00,2.87,-2.32,24.96
97077,-0.11,-0.07,1.00,2.99,-2.14,27.34
97093,-0.08,-0.07,1.00,1.04,-1.59,32.78
97109,-0.12,-0.07,1.00,0.55,-1.40,26.98
97125,-0.12,-0.05,1.01,3.91,-1.28,21.91
97141,-0.13,-0.06,1.01,2.14,-1.34,17.27
97157,-0.14,-0.09,1.00,0.85,-1.22,16.30
97173,-0.13,-0.11,1.00,-0.43,-1.22,17.46
97189,-0.09,-0.18,1.00,-1.10,-0.85,22.89
97205,-0.12,-0.21,1.02,0.98,-1.40,25.21
97221,-0.12,-0.22,1.01,-0.12,-1.77,25.39
97237,-0.11,-0.18,1.01,0.43,-1.59,25.02
97253,-0.12,-0.14,1.00,1.71,-1.59,16.36
97269,-0.12,-0.15,1.00,2.14,-1.77,10.19
97285,-0.09,-0.19,1.01,2.50,-1.04,0.79
97301,-0.07,-0.17,1.01,5.13,-1.89,-0.24
97317,-0.07,-0.16,1.01,3.23,-2.20,1.40
97333,-0.05,-0.07,1.01,1.28,-0.67,4.58
97349,-0.03,-0.06,1.00,2.56,-2.26,6.41
97365,0.01,-0.09,1.00,1.89,-1.53,8.97
97381,0.03,-0.18,1.01,1.10,-1.10,17.46
97397,-0.02,-0.21,1.00,3.30,-0.55,19.96
97413,0.06,-0.20,1.01,-0.61,-1.34,20.39
97429,0.08,-0.15,1.01,4.46,-1.22,11.78
97445,0.10,-0.13,1.01,3.11,-2.20,0.00
97461,0.11,-0.13,1.00,1.77,-2.38,-4.03
