time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
44805,0.17,-0.03,0.54,-2.87,-30.70,7.45
44821,0.18,-0.05,0.52,-9.52,-24.90,8.24
44837,0.19,-0.07,0.50,-12.88,-21.24,6.71
44853,0.22,-0.08,0.46,-17.40,-13.24,5.43
44869,0.23,-0.08,0.44,-16.60,-2.75,2.62
44885,0.22,-0.08,0.45,-13.79,3.97,1.22
44901,0.21,-0.09,0.47,-8.79,18.01,-0.79
44917,0.21,-0.09,0.52,-4.76,28.99,-2.87
44933,0.21,-0.10,0.55,-2.75,33.02,-3.91
44949,0.18,-0.11,0.62,1.65,39.79,-5.25
44965,0.13,-0.09,0.69,8.24,44.37,-5.80
44981,0.10,-0.08,0.74,11.05,45.47,-6.04
44997,0.07,-0.05,0.81,10.50,44.62,-6.90
45013,0.12,-0.03,0.88,7.08,42.42,-6.65
45029,0.12,-0.04,0.90,4.94,40.34,-4.58
45045,0.08,-0.06,0.93,3.91,35.71,3.36
45061,0.02,-0.07,0.96,6.23,33.75,6.90
45077,-0.00,-0.07,0.96,8.06,33.63,6.23
45093,-0.02,-0.06,0.98,11.29,34.67,3.36
45109,0.03,-0.04,1.00,8.91,34.36,0.37
45125,0.03,-0.04,1.00,5.07,34.18,-0.67
45141,0.02,-0.06,0.98,-3.36,35.83,0.85
45157,-0.03,-0.07,0.97,-2.75,38.21,3.48
45173,-0.05,-0.06,0.98,0.49,38.88,3.11
45189,-0.02,-0.05,0.98,10.07,38.64,0.24
45205,0.01,-0.04,1.00,15.01,37.11,0.18
45221,0.01,-0.05,1.00,12.82,37.60,2.69
45237,-0.02,-0.11,1.00,7.08,42.60,9.64
45253,-0.08,-0.12,1.03,7.14,49.07,8.18
45269,-0.13,-0.10,1.06,7.51,51.27,2.75
45285,-0.15,-0.04,1.11,7.63,54.38,-11.17
45301,-0.18,-0.02,1.08,1.22,60.73,-13.67
45317,-0.17,0.03,1.21,37.84,62.93,-2.62
45333,-0.19,-0.00,1.23,36.32,44.37,2.87
45349,-0.22,0.02,1.33,42.79,37.11,5.13
45365,-0.23,0.03,1.35,30.88,30.52,3.36
45381,-0.22,0.04,1.34,15.14,21.00,-5.07
45397,-0.20,0.06,1.30,11.66,18.37,-10.38
45413,-0.19,0.07,1.28,15.38,17.33,-10.07
45429,-0.19,0.09,1.25,23.44,11.17,-7.63
45445,-0.21,0.13,1.26,26.00,4.46,-6.65
45461,-0.23,0.16,1.27,22.58,1.59,-8.12
45477,-0.24,0.19,1.26,9.52,-1.16,-9.40
45493,-0.21,0.19,1.29,13.24,-0.06,-4.94
45509,-0.22,0.20,1.31,18.92,-0.55,-2.75
